horizontal-vertical,diagonal,corners_loss,baseline_loss
1.6401662826538086,1.8313289880752563,1.3299285228640656e-06,2.2621006607437266e-07
1.5205761194229126,1.507773756980896,4.627010184776736e-06,1.967284583770379e-07
1.546859622001648,1.675266146659851,3.750570385818719e-06,2.0503056489928894e-07
0.7118960618972778,0.747847318649292,3.171080322772468e-07,2.079263482812621e-07
0.5848141312599182,0.6300359964370728,5.066025892119796e-07,1.975171761614547e-07
2.4790291786193848,2.7517077922821045,5.923228400206426e-06,1.725883274161788e-07
3.5947844982147217,4.142801761627197,1.957934000529349e-05,2.0437018363850257e-07
2.6500513553619385,3.0749824047088623,6.7480305006029084e-06,2.9654352090346947e-07
1.6673866510391235,1.7383137941360474,2.2967012682784116e-06,1.7053924139531773e-07
0.6585826873779297,0.6921653747558594,3.0725630040251417e-07,1.9953199725364357e-07
